"salary" "age" "edu" "startsal" "jobtime" "prevexp" "minority" "gender" "jobcat"
57000 36 15 27000 98 144 "no_min" "m" "manager"
40200 30 16 18750 98 36 "no_min" "m" "clerical"
21450 59 12 12000 98 381 "no_min" "f" "clerical"
21900 41 8 13200 98 190 "no_min" "f" "clerical"
45000 33 15 21000 98 138 "no_min" "m" "clerical"
32100 30 15 13500 98 67 "no_min" "m" "clerical"
36000 32 15 18750 98 114 "no_min" "m" "clerical"
21900 22 12 9750 98 0 "no_min" "f" "clerical"
27900 42 15 12750 98 115 "no_min" "f" "clerical"
24000 42 12 13500 98 244 "no_min" "f" "clerical"
30300 38 16 16500 98 143 "no_min" "f" "clerical"
28350 22 8 12000 98 26 "min" "m" "clerical"
27750 28 15 14250 98 34 "min" "m" "clerical"
35100 39 15 16800 98 137 "min" "f" "clerical"
27300 26 12 13500 97 66 "no_min" "m" "clerical"
40800 24 12 15000 97 24 "no_min" "m" "clerical"
46000 26 15 14250 97 48 "no_min" "m" "clerical"
103750 32 16 27510 97 70 "no_min" "m" "manager"
42300 26 12 14250 97 103 "no_min" "m" "clerical"
26250 48 12 11550 97 48 "no_min" "f" "clerical"
38850 25 16 15000 97 17 "no_min" "f" "clerical"
21750 48 12 12750 97 315 "min" "m" "clerical"
24000 23 15 11100 97 75 "min" "f" "clerical"
16950 55 12 9000 97 124 "min" "f" "clerical"
21150 46 15 9000 97 171 "min" "f" "clerical"
31050 22 15 12600 96 14 "no_min" "m" "clerical"
60375 34 19 27480 96 96 "no_min" "m" "manager"
32550 25 15 14250 96 43 "no_min" "m" "clerical"
135000 44 19 79980 96 199 "no_min" "m" "manager"
31200 27 15 14250 96 54 "no_min" "m" "clerical"
36150 24 12 14250 96 83 "no_min" "m" "clerical"
110625 34 19 45000 96 120 "no_min" "m" "manager"
42000 27 15 15000 96 68 "no_min" "m" "clerical"
92000 39 19 39990 96 175 "no_min" "m" "manager"
81250 27 17 30000 96 18 "no_min" "m" "manager"
31350 25 8 11250 96 52 "no_min" "f" "clerical"
29100 34 12 13500 96 113 "min" "m" "clerical"
31350 26 15 15000 96 49 "min" "m" "clerical"
36000 28 16 15000 96 46 "min" "m" "clerical"
19200 55 15 9000 96 23 "min" "f" "clerical"
23550 27 12 11550 96 52 "min" "f" "clerical"
35100 28 15 16500 95 90 "no_min" "m" "clerical"
23250 24 12 14250 95 46 "no_min" "m" "clerical"
29250 25 8 14250 95 50 "no_min" "m" "clerical"
30750 50 12 13500 95 307 "no_min" "m" "custodial"
22350 48 15 12750 95 165 "no_min" "f" "clerical"
30000 50 12 16500 95 228 "no_min" "f" "clerical"
30750 41 12 14100 94 240 "no_min" "m" "custodial"
34800 30 15 16500 94 93 "no_min" "m" "clerical"
60000 28 16 23730 94 59 "no_min" "m" "manager"
35550 26 12 15000 94 48 "no_min" "m" "clerical"
45150 25 15 15000 94 40 "no_min" "m" "clerical"
73750 34 18 26250 94 56 "no_min" "m" "manager"
25050 57 12 13500 94 444 "no_min" "m" "clerical"
27000 28 12 15000 94 120 "no_min" "m" "clerical"
26850 26 15 13500 94 5 "no_min" "m" "clerical"
33900 25 15 15750 94 78 "no_min" "m" "clerical"
26400 24 15 13500 94 3 "no_min" "f" "clerical"
28050 27 15 14250 94 36 "min" "m" "clerical"
30900 29 12 15000 94 102 "min" "m" "clerical"
22500 24 8 9750 94 36 "min" "m" "clerical"
48000 26 16 21750 93 22 "no_min" "m" "manager"
55000 27 17 26250 93 32 "no_min" "m" "manager"
53125 25 16 21000 93 48 "no_min" "m" "manager"
21900 24 8 14550 93 41 "no_min" "m" "clerical"
78125 26 19 30000 93 7 "no_min" "m" "manager"
46000 24 16 21240 93 35 "no_min" "m" "manager"
45250 25 16 21480 93 36 "no_min" "m" "manager"
56550 28 16 25000 93 34 "no_min" "m" "manager"
41100 26 15 20250 93 27 "no_min" "m" "clerical"
82500 40 17 34980 93 207 "no_min" "m" "manager"
54000 24 16 18000 93 11 "no_min" "f" "clerical"
26400 20 12 10500 93 0 "no_min" "f" "clerical"
33900 55 15 19500 93 192 "no_min" "f" "clerical"
24150 23 15 11550 93 0 "no_min" "f" "clerical"
29250 21 15 11550 93 11 "no_min" "f" "clerical"
27600 20 12 11400 93 6 "no_min" "f" "clerical"
22950 20 12 10500 93 10 "no_min" "f" "clerical"
34800 26 16 14550 93 8 "no_min" "f" "clerical"
51000 27 16 18000 93 22 "no_min" "f" "clerical"
24300 20 12 10950 93 5 "no_min" "f" "clerical"
24750 41 12 14250 93 193 "min" "f" "clerical"
22950 21 12 11250 93 0 "min" "f" "clerical"
25050 21 8 10950 93 8 "min" "f" "clerical"
25950 26 15 17100 92 42 "no_min" "m" "clerical"
31650 27 15 15750 92 64 "no_min" "m" "clerical"
24150 29 12 14100 92 130 "no_min" "m" "clerical"
72500 26 19 28740 92 10 "no_min" "m" "manager"
68750 27 19 27480 92 8 "no_min" "m" "manager"
16200 50 8 9750 92 0 "no_min" "f" "clerical"
20100 21 12 11250 92 24 "no_min" "f" "clerical"
24000 20 8 10950 92 6 "no_min" "f" "clerical"
25950 20 12 10950 92 0 "no_min" "f" "clerical"
24600 38 12 10050 92 44 "no_min" "f" "clerical"
28500 20 12 10500 92 6 "no_min" "f" "clerical"
30750 55 8 15000 92 432 "min" "m" "custodial"
40200 35 17 19500 92 168 "min" "m" "clerical"
30000 32 8 15000 92 144 "min" "m" "custodial"
22050 20 12 10950 92 5 "min" "f" "clerical"
78250 25 18 27480 91 47 "no_min" "m" "manager"
60625 28 16 22500 91 44 "no_min" "m" "manager"
39900 25 14 15750 91 59 "no_min" "m" "clerical"
97000 29 19 35010 91 68 "no_min" "m" "manager"
27450 26 15 15750 91 48 "no_min" "m" "clerical"
31650 22 15 13500 91 18 "no_min" "m" "clerical"
91250 26 19 29490 91 23 "no_min" "m" "manager"
25200 28 12 14400 91 83 "no_min" "f" "clerical"
21000 58 12 11550 91 108 "no_min" "f" "clerical"
30450 25 12 15000 91 49 "min" "m" "clerical"
28350 36 15 18000 91 151 "min" "m" "clerical"
30750 48 12 9000 91 314 "min" "m" "custodial"
30750 40 12 15000 91 240 "min" "m" "custodial"
54875 29 16 27480 90 68 "no_min" "m" "manager"
37800 27 14 16500 90 60 "no_min" "m" "clerical"
33450 27 15 14100 90 85 "no_min" "m" "clerical"
30300 26 15 16500 90 16 "no_min" "m" "clerical"
31500 56 12 18750 90 205 "no_min" "f" "clerical"
31650 24 12 14250 90 48 "no_min" "f" "clerical"
25200 25 12 14100 90 55 "no_min" "f" "clerical"
37800 24 16 15750 90 7 "no_min" "f" "manager"
18750 52 15 10500 90 54 "no_min" "f" "clerical"
32550 23 15 13500 90 22 "no_min" "f" "clerical"
33300 39 12 15000 90 3 "no_min" "f" "clerical"
38550 25 16 16500 90 0 "no_min" "f" "clerical"
27450 32 12 15000 90 173 "min" "m" "clerical"
24300 37 15 15000 90 191 "min" "m" "custodial"
30750 38 12 15000 90 209 "min" "m" "custodial"
19650 42 12 9750 90 229 "min" "f" "clerical"
68750 29 17 27510 89 38 "no_min" "m" "manager"
59375 30 20 30000 89 6 "no_min" "m" "manager"
31500 26 15 15750 89 22 "no_min" "m" "clerical"
27300 35 12 17250 89 175 "no_min" "m" "clerical"
27000 29 15 15750 89 87 "no_min" "m" "clerical"
41550 47 16 24990 89 285 "no_min" "f" "manager"
26250 20 12 10950 89 0 "no_min" "f" "clerical"
22200 49 12 15000 88 324 "no_min" "m" "clerical"
65000 51 21 37500 88 264 "no_min" "m" "manager"
30900 41 12 15000 88 252 "no_min" "m" "clerical"
20100 57 8 13200 88 90 "no_min" "f" "clerical"
22350 23 12 13500 88 26 "no_min" "f" "clerical"
35550 22 15 13350 88 32 "no_min" "f" "clerical"
28500 22 12 13950 88 34 "no_min" "f" "clerical"
24450 49 12 13200 88 107 "no_min" "f" "clerical"
16650 57 8 9750 88 412 "no_min" "f" "clerical"
26700 24 12 13500 88 38 "min" "m" "clerical"
43950 37 18 23250 88 182 "min" "m" "clerical"
23700 52 15 13500 88 359 "min" "m" "clerical"
26550 29 15 14250 88 61 "min" "f" "clerical"
27600 26 12 15000 87 75 "no_min" "m" "clerical"
25800 34 12 15000 87 143 "no_min" "m" "clerical"
42300 34 16 26250 87 126 "no_min" "m" "manager"
30750 59 8 15000 87 451 "no_min" "m" "custodial"
26700 21 12 12900 87 18 "no_min" "f" "clerical"
20850 48 12 12000 87 163 "no_min" "f" "clerical"
35250 25 15 15000 87 54 "min" "m" "clerical"
26700 25 15 15000 87 56 "min" "m" "clerical"
26550 21 12 13050 87 11 "min" "f" "clerical"
27750 24 12 12000 87 11 "min" "f" "clerical"
25050 37 16 12750 87 123 "min" "f" "clerical"
66000 37 16 47490 86 150 "no_min" "m" "manager"
52650 25 16 19500 86 20 "no_min" "m" "clerical"
45625 27 16 23250 86 60 "no_min" "m" "manager"
30900 23 15 15000 86 25 "no_min" "m" "clerical"
29400 23 15 16500 86 24 "no_min" "f" "clerical"
33300 22 15 13500 86 24 "no_min" "f" "clerical"
21900 46 12 9750 86 156 "no_min" "f" "clerical"
18150 56 12 9750 86 72 "no_min" "f" "clerical"
46875 26 16 17250 86 19 "no_min" "f" "manager"
25500 23 12 14400 86 37 "min" "m" "clerical"
26550 24 12 15000 86 38 "min" "m" "clerical"
26700 58 12 13500 86 367 "min" "m" "clerical"
29850 35 15 15000 86 79 "min" "f" "clerical"
69250 38 20 42480 85 134 "no_min" "m" "manager"
31950 53 8 15000 85 438 "no_min" "m" "custodial"
26250 50 8 15600 85 171 "no_min" "m" "clerical"
35700 26 16 17250 85 19 "no_min" "f" "clerical"
28500 26 12 16500 85 69 "no_min" "f" "clerical"
17100 50 12 10200 85 72 "no_min" "f" "clerical"
25200 23 12 13050 85 29 "min" "m" "clerical"
24000 28 12 12750 85 59 "min" "f" "clerical"
27450 49 12 10200 85 101 "min" "f" "clerical"
18450 45 12 10200 85 228 "min" "f" "clerical"
39300 28 15 15750 84 72 "no_min" "m" "clerical"
38850 24 15 15000 84 53 "no_min" "m" "clerical"
30750 58 8 15000 84 380 "no_min" "m" "custodial"
37500 24 15 20400 84 33 "no_min" "m" "clerical"
58750 25 16 21750 84 13 "no_min" "m" "manager"
34500 54 12 18750 84 208 "no_min" "f" "clerical"
36000 38 12 19980 84 240 "no_min" "f" "clerical"
29100 56 8 16500 84 35 "no_min" "f" "clerical"
16500 57 12 10200 84 288 "no_min" "f" "clerical"
19650 39 12 12750 84 180 "min" "m" "clerical"
24750 22 12 12000 84 41 "min" "f" "clerical"
27150 50 15 15750 84 231 "min" "f" "clerical"
26400 33 12 12750 84 36 "min" "f" "clerical"
23100 42 16 12000 84 214 "min" "f" "clerical"
54900 26 15 25500 83 49 "no_min" "m" "manager"
70875 36 19 43500 83 156 "no_min" "m" "manager"
51250 30 16 27480 83 69 "no_min" "m" "manager"
67500 25 17 34980 83 9 "no_min" "m" "manager"
29340 33 12 19500 83 150 "no_min" "m" "clerical"
39600 25 15 16500 83 47 "no_min" "m" "clerical"
29100 24 12 15000 83 50 "no_min" "m" "clerical"
33150 28 15 16500 83 69 "no_min" "m" "clerical"
66750 44 16 52500 83 258 "no_min" "m" "manager"
33750 45 12 15000 83 284 "no_min" "m" "custodial"
27300 29 15 17250 83 91 "no_min" "m" "clerical"
24000 20 12 11250 83 16 "no_min" "f" "clerical"
19800 54 8 10200 83 75 "no_min" "f" "clerical"
30600 39 15 16500 83 216 "min" "m" "clerical"
28950 38 15 15000 83 108 "min" "m" "clerical"
38400 23 15 16500 83 64 "min" "m" "clerical"
30750 43 8 15000 83 302 "min" "m" "custodial"
20400 20 12 10950 83 9 "min" "f" "clerical"
19200 20 12 11100 83 7 "min" "f" "clerical"
30150 24 15 15750 82 72 "no_min" "m" "clerical"
34620 39 16 27750 82 149 "no_min" "m" "clerical"
80000 24 15 15750 82 34 "no_min" "m" "clerical"
25350 25 12 15000 82 32 "no_min" "m" "clerical"
29850 25 12 15750 82 85 "no_min" "m" "clerical"
24000 41 12 13800 82 97 "no_min" "f" "clerical"
27750 53 15 19500 82 265 "no_min" "f" "clerical"
22350 46 8 10200 82 48 "no_min" "f" "clerical"
16200 54 12 10200 82 0 "no_min" "f" "clerical"
21900 21 15 12750 82 0 "no_min" "f" "clerical"
23250 24 16 15750 82 4 "no_min" "f" "clerical"
33900 23 12 12000 82 11 "no_min" "f" "clerical"
25650 25 15 14250 82 51 "no_min" "f" "clerical"
17250 48 12 10200 82 358 "no_min" "f" "clerical"
22500 54 15 15000 82 371 "min" "m" "clerical"
40200 23 16 21000 81 3 "no_min" "m" "manager"
55500 25 19 33750 81 62 "no_min" "m" "manager"
26550 25 15 15000 81 52 "no_min" "m" "clerical"
50550 28 15 19500 81 44 "no_min" "m" "clerical"
75000 26 19 31500 81 13 "no_min" "m" "manager"
27450 19 8 12000 81 9 "no_min" "f" "clerical"
22650 19 12 11250 81 0 "no_min" "f" "clerical"
27300 19 12 11250 81 5 "no_min" "f" "clerical"
27750 19 12 11225 81 5 "no_min" "f" "clerical"
54375 27 16 18750 81 81 "no_min" "f" "manager"
17400 52 8 10200 81 390 "no_min" "f" "clerical"
40800 21 12 18000 81 4 "no_min" "f" "clerical"
23100 19 12 10950 81 0 "no_min" "f" "clerical"
22500 19 8 10950 81 5 "no_min" "f" "clerical"
26700 19 12 11550 81 18 "no_min" "f" "clerical"
24900 20 12 11250 81 0 "no_min" "f" "clerical"
19650 20 12 10950 81 11 "no_min" "f" "clerical"
22050 19 12 10950 81 9 "no_min" "f" "clerical"
25500 19 12 12000 81 11 "no_min" "f" "clerical"
28200 22 15 12750 81 19 "no_min" "f" "clerical"
23100 19 12 11250 81 13 "no_min" "f" "clerical"
25500 19 12 11400 81 9 "min" "m" "clerical"
17100 46 8 10200 81 0 "min" "f" "clerical"
68125 24 18 32490 80 29 "no_min" "m" "manager"
30600 56 12 15750 80 460 "no_min" "m" "custodial"
52125 40 19 27480 80 221 "no_min" "m" "manager"
61875 37 19 36750 80 199 "no_min" "m" "manager"
21300 19 8 11550 80 24 "no_min" "m" "clerical"
19650 19 12 11250 80 5 "no_min" "f" "clerical"
22350 19 12 11250 80 5 "no_min" "f" "clerical"
23400 19 12 11250 80 18 "no_min" "f" "clerical"
24300 20 12 10950 80 8 "no_min" "f" "clerical"
28500 20 12 11250 80 4 "no_min" "f" "clerical"
19950 19 12 11250 80 8 "no_min" "f" "clerical"
23400 19 12 11250 80 0 "no_min" "f" "clerical"
34500 25 16 17250 80 3 "no_min" "f" "clerical"
18150 19 12 10950 80 0 "no_min" "f" "clerical"
22350 52 12 15000 80 272 "min" "m" "clerical"
40200 22 15 17250 79 38 "no_min" "m" "clerical"
28650 41 15 18000 79 261 "no_min" "m" "clerical"
27750 25 15 16500 79 55 "no_min" "m" "clerical"
66875 24 18 31980 79 30 "no_min" "m" "clerical"
30000 49 12 15750 79 308 "no_min" "m" "custodial"
83750 24 16 21750 79 12 "no_min" "m" "manager"
33900 25 12 16500 79 94 "no_min" "m" "clerical"
56500 23 16 21000 79 12 "no_min" "m" "manager"
43000 23 16 17490 79 20 "no_min" "f" "manager"
20850 45 8 12000 79 70 "no_min" "f" "clerical"
24450 19 12 12000 79 8 "no_min" "f" "clerical"
24750 19 12 10950 79 5 "no_min" "f" "clerical"
34500 43 8 15750 79 246 "min" "m" "custodial"
27900 25 14 15000 79 47 "min" "m" "clerical"
68125 25 19 32010 78 35 "no_min" "m" "manager"
73500 27 19 33000 78 45 "no_min" "m" "manager"
30750 58 8 15750 78 429 "no_min" "m" "custodial"
40050 30 15 25500 78 133 "no_min" "m" "manager"
40350 23 16 19500 78 20 "no_min" "m" "clerical"
38700 33 15 23730 78 176 "no_min" "m" "manager"
65000 24 17 30750 78 26 "no_min" "m" "manager"
51450 34 18 36240 78 149 "no_min" "m" "manager"
35250 54 12 15750 78 387 "no_min" "m" "custodial"
25950 25 14 15000 78 53 "no_min" "m" "clerical"
25050 23 15 14250 78 24 "no_min" "m" "clerical"
26700 20 12 12750 78 25 "no_min" "m" "clerical"
24000 56 8 15750 78 476 "no_min" "m" "clerical"
26850 24 12 15000 78 48 "no_min" "m" "clerical"
23400 46 12 15300 78 209 "no_min" "f" "clerical"
24600 22 12 13500 78 47 "no_min" "f" "clerical"
32550 23 15 18000 78 6 "no_min" "f" "clerical"
26550 28 16 15000 78 105 "min" "m" "clerical"
31500 20 12 13500 78 7 "min" "m" "clerical"
22350 49 8 15000 78 320 "min" "m" "clerical"
35250 50 12 15750 78 281 "min" "m" "custodial"
25800 43 15 13500 78 51 "min" "f" "clerical"
30750 47 12 15750 77 317 "no_min" "m" "custodial"
30750 22 15 16500 77 41 "no_min" "m" "clerical"
50000 43 16 32490 77 264 "no_min" "m" "manager"
34500 25 15 18000 77 63 "no_min" "m" "clerical"
26250 24 15 15750 77 38 "no_min" "m" "clerical"
44875 24 16 21240 77 22 "no_min" "m" "clerical"
22500 37 12 12000 77 63 "no_min" "f" "clerical"
25650 25 12 14250 77 64 "no_min" "f" "clerical"
