"cliente"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"y"	"x8"
1	4.1	0.6	6.9	4.7	2.4	2.3	5.2	32	0
2	1.8	3	6.3	6.6	2.5	4	8.4	43	1
3	3.4	5.2	5.7	6	4.3	2.7	8.2	48	1
4	2.7	1	7.1	5.9	1.8	2.3	7.8	32	1
5	6	0.9	9.6	7.8	3.4	4.6	4.5	58	0
6	1.9	3.3	7.9	4.8	2.6	1.9	9.7	45	1
7	4.6	2.4	9.5	6.6	3.5	4.5	7.6	46	0
8	1.3	4.2	6.2	5.1	2.8	2.2	6.9	44	1
9	5.5	1.6	9.4	4.7	3.5	3	7.6	63	0
10	4	3.5	6.5	6	3.7	3.2	8.7	54	1
11	2.4	1.6	8.8	4.8	2	2.8	5.8	32	0
12	3.9	2.2	9.1	4.6	3	2.5	8.3	47	0
13	2.8	1.4	8.1	3.8	2.1	1.4	6.6	39	1
14	3.7	1.5	8.6	5.7	2.7	3.7	6.7	38	0
15	4.7	1.3	9.9	6.7	3	2.6	6.8	54	0
16	3.4	2	9.7	4.7	2.7	1.7	4.8	49	0
17	3.2	4.1	5.7	5.1	3.6	2.9	6.2	38	0
18	4.9	1.8	7.7	4.3	3.4	1.5	5.9	40	0
19	5.3	1.4	9.7	6.1	3.3	3.9	6.8	54	0
20	4.7	1.3	9.9	6.7	3	2.6	6.8	55	0
21	3.3	0.9	8.6	4	2.1	1.8	6.3	41	0
22	3.4	0.4	8.3	2.5	1.2	1.7	5.2	35	0
23	3	4	9.1	7.1	3.5	3.4	8.4	55	0
24	2.4	1.5	6.7	4.8	1.9	2.5	7.2	36	1
25	5.1	1.4	8.7	4.8	3.3	2.6	3.8	49	0
26	4.6	2.1	7.9	5.8	3.4	2.8	4.7	49	0
27	2.4	1.5	6.6	4.8	1.9	2.5	7.2	36	1
28	5.2	1.3	9.7	6.1	3.2	3.9	6.7	54	0
29	3.5	2.8	9.9	3.5	3.1	1.7	5.4	49	0
30	4.1	3.7	5.9	5.5	3.9	3	8.4	46	1
31	3	3.2	6	5.3	3.1	3	8	43	1
32	2.8	3.8	8.9	6.9	3.3	3.2	8.2	53	0
33	5.2	2	9.3	5.9	3.7	2.4	4.6	60	0
34	3.4	3.7	6.4	5.7	3.5	3.4	8.4	47	1
35	2.4	1	7.7	3.4	1.7	1.1	6.2	35	1
36	1.8	3.3	7.5	4.5	2.5	2.4	7.6	39	1
37	3.6	4	5.8	5.8	3.7	2.5	9.3	44	1
38	4	0.9	9.1	5.4	2.4	2.6	7.3	46	0
39	0	2.1	6.9	5.4	1.1	2.6	8.9	29	1
40	2.4	2	6.4	4.5	2.1	2.2	8.8	28	1
41	1.9	3.4	7.6	4.6	2.6	2.5	7.7	40	1
42	5.9	0.9	9.6	7.8	3.4	4.6	4.5	58	0
43	4.9	2.3	9.3	4.5	3.6	1.3	6.2	53	0
